longitude,latitude,population
-73.9249,40.6943,19354922
-118.4068,34.1139,12815475
-87.6861,41.8373,8675982
-80.2102,25.784,6381966
-96.7662,32.7937,5733259
-75.134,40.0076,5637884
-95.3905,29.7868,5446468
-77.0163,38.9047,5289420
-84.4228,33.7626,5228750
-71.0846,42.3188,4637537
-112.0891,33.5722,4081849
-122.3244,47.6211,3643765
-122.443,37.7562,3603761
-83.1024,42.3834,3522206
-117.1226,32.8312,3210314
-93.2678,44.9635,2926757
-82.4454,27.9937,2804240
-104.8759,39.7621,2787266
-73.9496,40.6501,2629150
-73.7976,40.7498,2333054
-76.6144,39.3051,2170504
-117.3948,33.9381,2084749
-90.2451,38.6358,2078283
-115.2607,36.2291,2073045
-122.65,45.5372,2052796
-98.5247,29.4722,2002530
-121.4683,38.5667,1854698
-121.8485,37.3018,1821899
-81.342,28.4788,1776841
-81.6805,41.4767,1730363
-79.9763,40.4396,1715297
-84.5059,39.1412,1648254
-73.9662,40.7834,1643734
-97.7517,30.3006,1638716
-94.5541,39.1239,1615621
-86.1458,39.7771,1564699
-82.9852,39.986,1528314
-76.0435,36.7335,1480383
-80.8303,35.2079,1467362
-73.8662,40.8501,1455720
-87.9669,43.064,1377808
-71.4186,41.8229,1206642
-81.6749,30.3322,1156291
-111.9301,40.7774,1098400
-86.7844,36.1714,1076645
-89.9773,35.1047,1068873
-77.4756,37.5295,1059907
-89.9288,30.0687,1029123
-78.6439,35.8323,1018336
-85.6488,38.1662,1011696
-97.5136,35.4676,955998
-73.1958,41.1909,938406
-78.8487,42.9017,926261
-72.6834,41.7661,914751
-97.3473,32.7814,874168
-110.8782,32.1546,868391
-106.4309,31.8479,845674
-157.846,21.3294,833671
-96.0495,41.2628,827786
-98.2467,26.2325,800904
-106.6464,35.1053,758523
-86.7988,33.5276,744189
-84.1998,39.7797,718169
-77.6162,43.168,711998
-82.5439,27.3391,706245
-119.7941,36.7834,698021
-75.4756,40.5961,682899
-95.9042,36.1284,672054
-122.0016,37.9722,654770
-81.9956,26.6444,630134
-72.5395,42.1155,628076
-104.7606,38.8674,623946
-79.9643,32.8137,616085
-85.6557,42.9615,602694
-117.6551,33.6095,600474
-73.7987,42.6664,597270
-83.9495,35.9692,585249
-91.1314,30.4423,583613
-119.036,35.353,574362
-111.9677,41.228,573632
-72.9245,41.3112,568144
-80.9042,34.037,566166
-81.5219,41.0802,565920
-111.6457,40.2458,503695
-71.8079,42.2705,498997
-111.7181,33.4017,496401
-80.6628,27.9861,489912
-83.5822,41.6639,488672
-117.1909,33.5719,483681
-97.3442,37.6897,483057
-93.6104,41.5725,481222
-74.1496,40.5834,476015
-118.161,33.8059,469450
-82.365,34.8363,467894
-92.3581,34.7255,442699
-76.8843,40.2752,441580
-97.1421,33.2176,440146
-89.3922,43.0808,439553
-119.8483,39.5497,433271
-80.3883,27.2796,432589
-122.2165,37.7903,425195
-80.261,36.1029,416581
-116.2346,33.7346,408097
-78.9037,35.9797,407575
-76.1438,43.0409,407259
-85.2488,35.0657,407182
-76.3012,40.0421,404525
-117.433,47.6671,403043
-81.246,29.5389,401757
-97.125,32.6998,396394
-81.7861,26.3559,396220
-73.921,41.6949,396041
-121.3112,37.9766,394467
-119.1819,34.1962,389792
-82.0708,33.3645,389383
-75.6649,41.4044,389022
-116.2316,43.6006,385218
-121.0028,37.6374,381398
-81.4164,28.3042,374231
-80.6463,41.0993,373728
-104.7274,39.7084,366623
-117.8572,33.839,352497
-118.1753,34.6934,349218
-117.3537,34.5277,346948
-87.1886,30.4427,344400
-94.166,36.0713,341890
-97.3822,27.7173,341435
-90.2124,32.3163,338185
-79.8269,36.0956,335588
-83.6922,43.0236,335354
-117.8819,33.7366,334136
-85.1436,41.0885,328564
-83.7312,42.2755,326288
-78.9776,35.0846,324700
-122.706,38.4465,321908
-84.56,42.7142,320928
-88.1162,30.6783,318084
-84.4587,38.0423,315939
-86.6414,34.6989,309716
-118.4992,34.4155,309378
-82.5537,35.5706,309250
-93.104,44.9477,306621
-105.0658,40.5479,303184
-121.7957,37.9789,302885
-115.0362,36.0145,302539
-74.764,40.2237,296869
-81.9543,28.0557,291281
-93.7959,32.4659,287432
-90.6052,41.5563,287413
-93.2915,37.1943,287222
-96.7487,33.0502,286143
-89.0641,42.2598,285562
-74.1725,40.7245,285154
-96.6802,40.8098,285118
-88.0811,42.3791,284607
-86.2692,41.6771,281100
-81.1786,32.0282,280082
-117.7738,33.6772,277453
-81.3677,40.8076,271184
-74.0682,40.7161,270753
-117.0145,32.6281,270471
-123.1173,44.0563,267568
-75.9266,40.34,267300
-92.0322,30.2083,265746
-82.6652,27.793,263255
-101.8871,33.5643,262505
-89.6155,40.752,262010
-78.8843,33.7096,260487
-99.487,27.5616,260244
-123.0245,44.9232,259816
-84.8771,32.51,259160
-86.2663,32.347,255908
-111.8516,33.2827,253458
-149.1091,61.1508,253421
-84.2526,30.455,253030
-80.636,35.3933,250186
-111.865,33.6872,249950
-97.7293,31.0754,247489
-112.2258,33.5796,246709
-77.886,34.21,245910
-81.7018,28.0122,245237
-76.259,36.8945,244703
-115.0901,36.288,242975
-111.7463,33.3103,242354
-74.4527,39.3797,241363
-76.3024,36.6778,240397
-96.9702,32.8584,240373
-80.3045,25.8696,239673
-96.6305,32.91,238002
-96.6669,33.2016,235134
-121.9852,37.5265,234962
-119.3264,36.3273,234573
-76.7315,39.9651,234245
-119.1732,46.1979,232915
-87.5339,37.9882,232285
-71.491,42.7491,231262
-97.4565,25.998,227883
-88.3894,44.2774,222222
-89.0703,30.4271,221348
-118.8755,34.1914,218729
-112.3236,33.3858,217192
-117.2936,34.1412,216995
-122.7122,47.5436,216480
-79.958,37.2785,216177
-81.3233,35.7427,215353
-85.5881,42.2749,214083
-122.4531,47.2431,213418
-117.4599,34.0968,211815
-87.9896,44.515,208625
-96.296,30.5852,207308
-117.2045,33.9244,207226
-101.8308,35.1988,206072
-70.2715,43.6773,206023
-96.8292,46.8653,204820
-119.7202,34.4285,204034
-72.0882,41.5495,203916
-118.2468,34.1818,203054
-73.8674,40.9466,202019
-118.0025,33.696,201874
-88.2901,41.7638,200965
-82.3455,29.6808,199695
-122.8959,47.0418,196078
-82.1976,27.0577,195992
-82.4344,38.4109,194155
-81.2136,28.905,194061
-97.0209,32.6869,193837
-121.6316,36.6881,193590
-73.0361,41.5583,191484
-94.687,38.887,191278
-97.1883,31.5597,188448
-80.0733,42.1168,188079
-91.6782,41.9667,186160
-77.7217,39.6401,185704
-111.9318,33.3881,185038
-81.9257,34.9437,183184
-87.3428,36.5696,182849
-81.1855,35.2494,180974
-82.184,41.4409,180239
-96.7322,43.5397,180204
-80.1464,26.1412,180072
-76.5185,37.1051,179388
-79.9938,35.9902,177874
-122.0346,36.9788,177556
-117.5664,34.1247,177452
-96.8218,33.1553,177286
-73.471,41.4016,177177
-116.9969,33.7341,176892
-117.3083,33.2247,176193
-117.6064,34.0393,175841
-122.597,45.6352,175673
-117.9601,33.7787,174226
-116.5626,43.5843,173863
-122.2359,38.1133,173844
-121.384,38.416,171844
-80.3387,26.0128,170712
-122.8537,42.3372,168219
-112.2989,33.7844,168181
-117.5644,33.862,167836
-86.4098,35.8493,167055
-122.1558,48.0809,166541
-78.8167,35.7814,165904
-77.4872,38.2992,164976
-82.1495,29.1803,164712
-71.4447,42.9848,160742
-122.0772,37.6328,160500
-86.2562,43.2281,160142
-77.0861,38.8185,160035
-89.6539,39.7712,159394
-86.8594,40.3991,159293
-93.9264,29.8554,157934
-118.1057,34.5944,157519
-88.2735,40.1144,156794
-83.8301,34.2901,156248
-77.4157,39.4335,154972
-105.1168,39.6978,154958
-87.5267,33.2349,154204
-122.0257,37.3835,153656
-93.215,30.203,153633
-80.1678,26.0293,153627
-95.1499,29.6584,153520
-117.7625,34.0585,152939
-94.7443,39.1234,152938
-117.0722,33.1347,151969
-75.9093,42.1014,150747
-83.6528,32.598,149617
-70.9428,41.6697,149528
-95.6956,39.0346,148960
-94.1451,30.0849,148954
-74.1624,40.9147,148678
-88.1501,41.5193,148462
-81.8981,28.7674,148161
-85.9628,41.6913,148131
-102.3407,31.8831,147810
-88.1657,41.7483,147682
-122.0319,38.2594,147582
-118.3417,33.8346,146758
-85.6003,30.1997,145239
-122.1551,47.5953,144444
-102.1137,32.0249,144247
-120.4778,37.3058,144117
-96.5889,32.7622,143949
-90.7058,29.5799,142969
-81.6323,38.3484,142858
-118.139,34.1598,142647
-104.6131,38.2701,142351
-95.3065,32.3184,141116
-117.8219,33.8038,140560
-117.9279,33.8841,140392
-80.3358,25.9773,140328
-120.4432,34.9333,140219
-83.3689,33.9508,140169
-92.3258,38.9478,139945
-114.5488,32.5991,138802
-94.8196,38.8838,137472
-104.9443,39.9205,136978
-97.6977,26.1917,136968
-108.5673,39.0878,136688
-112.0115,40.6889,136170
-96.9,32.9886,135710
-121.3178,38.7691,135329
-83.027,42.4934,135022
-88.9705,40.4757,134892
-76.3629,37.0551,134669
-112.4525,33.6802,134085
-106.7893,32.3265,133988
-104.7696,40.415,133750
-120.5496,46.5923,133233
-80.2592,26.2701,133037
-83.0305,42.5809,132631
-82.2996,34.7864,132402
-87.8135,42.7274,131467
-73.5583,41.1036,130824
-74.1912,40.6657,130215
-122.2128,47.3887,128458
-77.3764,35.5957,128385
-118.749,34.2663,127864
-79.4687,36.0762,127374
-121.9679,37.3646,127134
-82.3804,36.3406,126589
-105.2523,40.0249,126054
-122.4687,48.7543,126015
-94.3695,35.3494,125562
-79.1908,37.4003,125004
-87.8759,42.5863,124888
-83.6526,42.4614,123850
-97.6659,30.5252,123678
-122.276,37.8723,122324
-108.5503,45.7889,120800
-122.365,40.5698,120270
-121.6381,39.1357,120186
-92.1392,46.7757,120101
-95.3215,29.5585,119940
-71.7717,42.5209,119400
-83.9501,43.4199,119336
-91.5304,41.6559,119091
-105.151,39.8321,118807
-121.8191,36.6224,118110
-82.5453,36.522,118001
-94.3503,39.0871,117306
-96.7092,32.9717,116783
-92.4778,44.0151,116713
-121.5843,37.0047,116235
-118.0291,34.074,116109
-81.025,34.9413,115963
-82.7622,27.9786,115513
-92.0774,32.5184,115462
-75.5203,39.1603,115352
-117.2837,33.1246,115330
-97.3471,35.2335,115065
-99.7384,32.4543,114964
-86.5256,39.1637,114959
-94.9658,29.4128,114546
-117.1314,33.4928,114327
-75.226,43.0961,114318
-94.1719,45.5339,114225
-113.577,37.0769,113906
-112.0008,40.6024,113905
-117.9135,33.6667,113825
-80.2425,25.9433,113750
-71.1184,42.3758,113630
-118.1312,33.9379,113092
-116.7933,47.7039,112935
-105.0627,39.8837,112812
-88.3229,42.0385,112456
-115.5579,32.7873,112145
-92.3522,42.492,112060
-71.3217,42.6389,111346
-122.4414,45.5023,111053
-80.0705,32.9086,110861
-118.3444,33.9566,110598
-80.1312,26.2428,110473
-104.8674,39.5926,110250
-80.1314,26.7467,110222
-122.167,47.9524,110079
-105.9819,35.6619,110078
-122.339,37.9477,110040
-119.6841,36.8278,109691
-75.6445,40.2508,109437
-77.3962,34.7323,108872
-95.7808,36.0365,108303
-73.2314,44.4877,108277
-117.9113,34.0555,107598
-120.8588,37.5053,107208
-122.4684,37.6863,107074
-91.4951,44.8203,107068
-122.9358,45.5271,106894
-84.3703,33.9366,106739
-96.3901,42.4959,106279
-121.815,39.7574,106268
-118.0829,33.9069,106084
-75.5867,38.3755,106034
-96.9823,33.0453,106021
-80.287,26.079,105149
-95.1087,29.4874,104903
-118.3234,34.1879,104834
-122.3122,37.5522,104748
-116.9604,32.8017,103894
-117.3885,34.1128,103562
-121.3087,44.0562,103349
-78.4855,38.0375,102016
-91.2268,43.8241,101886
-97.3894,31.1076,101876
-117.2387,33.1895,101568
-122.1905,47.4758,101379
-119.7157,39.5729,100888
-86.0984,42.7677,100885
-121.9686,38.3592,100801
-111.8419,41.7402,100774
-96.6735,33.1088,100685
-94.7622,32.5192,100196
-116.3972,43.6113,99926
-100.4501,31.4426,99890
-98.5293,33.9072,99617
-105.0996,40.1691,99398
-121.227,37.7938,98736
-80.1077,26.3749,98150
-117.2346,47.6625,97847
-111.6993,40.2983,97839
-84.3659,39.5032,97762
-118.2275,33.893,97612
-112.0363,43.4868,97548
-122.8168,45.4779,97514
-100.7695,46.814,97457
-95.2641,38.9597,97341
-112.3178,34.5982,97066
-122.3359,47.309,96690
-117.1744,33.1349,96198
-106.6981,35.2872,96159
-121.444,37.726,95982
-71.0242,42.0821,95672
-118.1926,33.9447,95430
-117.3144,34.3974,94859
-84.3513,34.0391,94786
-90.0906,30.375,94760
-74.9981,39.4653,94734
-76.354,36.8468,94572
-83.2129,42.3127,94491
-80.2997,26.1547,94323
-71.0183,42.2516,94166
-83.3733,42.3972,94105
-70.9663,42.4779,94063
-80.2617,26.126,93909
-89.7826,30.2882,93882
-118.2559,33.8374,92735
-87.3763,39.4654,92722
-80.428,37.23,92573
-70.7826,43.058,92513
-80.1396,25.8171,92307
-118.4813,34.0232,92306
-70.8845,43.1887,92234
-86.1461,39.9658,92198
-119.654,36.326,92066
-105.0997,39.9949,91985
-97.4159,35.6689,91950
-85.967,39.9589,91832
-117.9938,33.7523,91564
-98.4204,34.6171,91383
-79.7857,34.1785,91311
-121.7608,37.6861,91030
-94.3816,38.9172,90597
-117.1849,33.6909,90595
-122.1601,37.7071,90553
-84.1762,31.5776,90515
-86.4367,36.9721,90448
-98.1607,26.319,90280
-76.6398,36.6953,90237
-114.0094,46.8685,90218
-117.6653,33.9836,89797
-85.4897,32.6084,89577
-71.1015,41.7136,89420
-73.4215,41.1144,89005
-88.9337,39.8556,88997
-71.2084,42.3316,88994
-103.2205,44.0716,88979
-85.395,40.1989,88688
-122.2041,47.6997,88630
-95.6293,29.5965,88485
-77.8568,40.7909,88285
-121.288,38.6948,87931
-118.3476,33.9147,87854
-84.4038,42.2431,87819
-87.8716,42.3697,87729
-90.7176,38.7851,87597
-122.3011,38.2977,87032
-84.9711,34.7689,86841
-118.0188,33.9678,86838
-122.2252,37.5026,86685
-79.8269,32.8533,86668
-74.1575,40.8631,86607
-85.692,40.0874,86481
-94.5016,37.0766,86298
-117.8669,33.6151,86160
-93.3151,44.8306,85866
-118.1355,34.084,85396
-86.8058,33.3763,84920
-82.7713,27.9088,84754
-98.3251,26.204,84424
-95.4807,30.322,84378
-84.2027,34.0333,84350
-117.6712,33.6607,84293
-96.3672,30.6657,84021
-82.4387,42.9822,83841
-83.1457,42.5818,83813
-120.0803,36.964,83636
-83.7961,39.9304,83286
-118.0046,33.8572,83015
-121.8805,37.6664,83007
-87.7593,41.8445,82552
-92.4702,31.2923,82131
-80.6628,28.1084,82011
-83.3805,42.3192,81747
-122.0796,37.4,81438
-71.1013,42.3908,81360
-71.4858,41.7658,81202
-83.3771,42.486,81050
-89.3168,31.3072,81036
-118.1221,33.8471,80967
-71.4334,41.7062,80871
-76.7076,37.2693,80855
-94.821,39.7598,80818
-122.211,47.3041,80776
-93.3505,45.1112,80581
-80.1278,26.305,80571
-117.8106,33.7309,80498
-90.1523,38.9033,80462
-117.7254,33.9508,80374
-71.1626,42.7003,80162
-94.0815,33.4487,80145
-73.7836,40.9305,79946
-81.8302,26.6195,79943
-112.3622,33.2614,79858
-94.1573,36.1898,79599
-98.1904,26.1686,79487
-83.2789,30.8503,79294
-122.2673,37.767,79177
-81.7286,41.3842,79167
-98.1153,29.6995,79152
-86.1277,40.464,79099
-82.425,40.0705,79025
-104.7926,41.1406,78728
-111.6195,35.1872,78628
-93.4615,45.0224,78395
-86.8524,35.9214,78321
-87.6658,34.83,78112
-121.8921,37.4338,78106
-121.1422,38.6669,78038
-87.8643,41.102,78001
-76.4228,40.3412,77973
-117.2233,33.7899,77879
-118.1271,33.888,77772
-80.0811,26.5282,77702
-121.7706,36.9205,77700
-82.6479,34.5212,77426
-85.8772,37.703,77317
-80.6951,40.0755,77206
-117.6603,34.1178,76999
-94.9628,29.7607,76804
-85.2296,42.2985,76803
-119.0337,36.0644,76729
-105.0621,40.4167,76701
-111.9622,41.0771,76691
-97.1147,33.0344,76681
-87.4908,41.617,76618
-95.4522,29.0516,76565
-121.7365,38.5552,76524
-82.1797,28.2407,76416
-117.972,34.0829,76402
-78.4007,40.5082,76096
-87.3472,41.5906,76008
-85.7066,42.8909,75938
-81.31,29.8979,75932
-121.9365,37.7625,75931
-75.3679,40.6266,75707
-97.8198,30.5105,75704
-87.9825,42.0956,75634
-122.0187,37.603,75343
-88.102,41.6903,75201
-85.8136,33.6713,75169
-88.5616,44.0228,75154
-87.6942,42.0463,74756
-119.0323,34.223,74682
-75.1073,39.9361,74532
-80.7499,32.1896,74500
-95.5377,29.5635,74497
-97.9382,29.8734,74212
-83.1563,42.6645,74205
-88.0838,42.0307,74184
-78.1746,39.1735,74031
-78.8735,38.4362,74023
-89.6436,44.9615,73933
-90.6795,35.8212,73788
-88.8352,35.6533,73685
-121.2521,38.5739,73563
-83.2605,42.4765,73208
-87.1172,37.7575,73173
-117.2102,34.5329,73077
-119.1298,46.2503,73013
-92.4695,35.0753,72894
-121.2932,38.1218,72890
-72.7862,41.6758,72710
-82.5275,40.7656,72635
-88.2464,43.0087,72489
-79.9468,39.638,72453
-121.8969,38.019,72141
-80.393,33.9392,72131
-71.3743,41.8743,72001
-80.2241,26.1605,71970
-84.8707,35.1817,71944
-85.4068,31.2336,71620
-117.171,34.0512,71554
-120.3285,47.4338,71512
-74.1282,40.8574,71247
-75.5413,39.7415,71106
-118.2017,33.924,71099
-93.4626,45.1089,71066
-112.4656,42.8716,71020
-111.9782,40.5571,70954
-80.4057,26.1006,70944
-97.6937,30.6664,70685
-89.0136,42.6855,70518
-97.218,32.8605,70441
-74.0323,40.7674,70387
-90.5159,38.7958,70329
-87.7322,43.7447,69920
-80.4472,25.4664,69907
-82.2144,36.5572,69865
-84.1121,40.7409,69798
-122.0398,37.9025,69773
-92.923,44.9057,69756
-88.1822,43.4184,69577
-122.3116,48.4202,69528
-90.456,30.506,69180
-87.8872,30.6291,69065
-97.1211,32.569,68928
-86.9905,34.573,68816
-80.0905,26.455,68749
-77.213,39.1347,68710
-73.8291,40.9136,68703
-88.043,42.1181,68644
-90.7067,42.5007,68573
-93.6666,32.523,68554
-112.643,33.4318,68453
-77.1553,39.0834,68401
-105.0527,39.9541,68341
-96.985,28.8285,68271
-117.7714,33.889,68229
-93.6279,42.0261,68156
-81.0982,29.1995,68055
-118.3766,33.8574,67908
-89.2238,37.722,67807
-76.9835,39.8117,67679
-73.7775,43.0674,67582
-88.7483,41.9312,67500
-106.3208,42.8421,67462
-90.2549,30.0109,67451
-122.4197,37.6536,67429
-96.6195,33.6266,67354
-122.6267,38.2423,67316
-74.1141,40.6659,67186
-122.1467,37.3913,67178
-80.5671,40.406,67082
-83.8886,43.5903,67059
-93.1638,44.817,66627
-106.7808,34.8114,66613
-123.278,44.5697,66441
-94.1514,36.3173,66430
-117.3348,33.6843,66411
-117.705,33.5275,66334
-97.0887,47.9223,66159
-92.2378,34.7814,65911
-84.2739,34.0704,65799
-80.2547,26.2058,65669
-73.9276,42.8025,65625
-111.2995,47.5022,65624
-122.963,46.146,65619
-93.7805,41.5527,65608
-94.8076,39.0158,65513
-74.2117,40.7651,65378
-117.6103,33.4498,65267
-86.8705,41.7098,65144
-80.1127,26.9199,64976
-80.2707,26.6464,64848
-121.2488,38.8075,64838
-77.8047,35.9676,64732
-147.6533,64.8353,64732
-76.8097,42.0938,64664
-78.9194,40.3258,64615
-93.2077,45.1696,64557
-122.0419,47.6019,64548
-93.4595,44.8488,64400
-122.1166,47.6762,64291
-73.6459,43.3109,64287
-81.5419,39.2623,64253
-87.74,42.0359,63978
-119.34,36.1996,63855
-93.2521,44.6776,63748
-71.0871,42.7838,63639
-118.0888,33.9902,63522
-89.0184,42.523,63498
-97.6022,30.4528,63359
-117.5802,33.9617,63211
-81.0136,29.1084,63203
-118.1108,34.0155,63192
-117.2613,33.0492,63184
-96.5488,32.9156,62868
-79.8828,40.1519,62833
-81.453,27.477,62814
-111.8728,40.4137,62712
-93.3094,45.1755,62656
-117.9513,33.9278,62466
-71.2423,42.3889,62442
-121.7191,37.9355,62433
-93.6031,41.728,62416
-120.6689,35.2671,62398
-122.9811,44.0538,62353
-95.8517,41.2369,62316
-104.8534,39.3761,62276
-80.1681,25.9006,62225
-84.5653,39.3938,62092
-93.9773,44.1712,61912
-86.006,40.0353,61882
-86.0156,34.009,61656
-97.4758,35.3294,61523
-93.2795,44.7648,61439
-117.0983,32.6654,61363
-83.2688,42.226,61276
-71.0576,42.4305,61246
-80.3565,25.8149,61130
-84.5421,33.9532,61048
-118.1325,34.0497,61044
-80.1842,26.2803,61010
-85.1862,34.2662,60966
-121.8964,37.7161,60939
-123.0966,44.6274,60795
-122.0465,37.3168,60777
-83.3001,36.2043,60316
-122.5299,47.1628,60296
-118.3073,33.8944,60224
-72.9407,41.6812,60223
-111.8291,40.6892,60192
-121.75,38.6712,60062
-117.0204,32.7703,60021
-111.9493,40.6569,59992
-86.4488,42.1159,59939
-88.0296,43.0068,59934
-72.7943,41.5367,59927
-79.039,35.9269,59862
-83.2878,42.6493,59792
-83.4893,42.4786,59715
-82.8957,42.4921,59635
-81.1841,37.7878,59629
-81.2757,28.7891,59317
-84.2315,43.6239,59138
-83.1539,42.5084,59112
-68.7906,44.8322,59107
-89.8195,35.2337,59102
-122.5222,37.9905,59070
-73.7548,41.022,59047
-77.972,35.3777,58972
-76.7421,38.9575,58859
-118.2167,33.98,58822
-118.0373,34.1342,58799
-70.1681,44.0915,58796
-85.918,39.2091,58771
-87.8619,41.6075,58765
-111.7624,32.907,58632
-79.0611,38.1593,58470
-80.2119,26.2465,58430
-92.1757,38.5677,58279
-87.9008,42.0344,58193
-116.9856,32.8555,58113
-74.4228,41.4458,57973
-93.0498,34.4902,57819
-71.1087,42.4234,57797
-118.3365,46.067,57779
-119.7474,39.1512,57525
-86.5997,36.3063,57517
-80.8193,28.5727,57497
-86.1073,39.6019,57375
-97.371,35.463,57308
-96.6053,39.1882,57284
-90.6061,38.7825,57178
-71.0943,41.9036,57139
-74.445,40.487,57073
-75.1779,41.0023,56771
-84.5168,33.8633,56685
-87.8051,41.567,56668
-117.8161,33.9992,56665
-82.5743,27.49,56508
-117.9514,33.7105,56313
-73.2605,42.4517,56291
-119.2938,46.2826,56243
-80.873,35.4057,56212
-122.3426,47.7564,56189
-87.7528,41.7139,56087
-122.5576,38.092,55980
-104.8434,39.8642,55923
-73.6193,40.7043,55806
-84.8007,34.1632,55794
-83.2769,42.3164,55758
-73.9968,41.9295,55695
-87.7909,41.8433,55550
-72.5719,42.1764,55515
-75.9724,40.9504,55444
-76.5032,42.4442,55439
-117.1653,34.1113,55342
-114.3115,34.5006,55341
-84.1496,39.6957,55175
-97.0798,32.8508,55174
-74.0279,40.7453,55131
-80.1656,26.8488,55036
-75.9094,43.9734,54980
-123.3317,42.4333,54973
-94.2722,39.0124,54945
-118.1651,33.8976,54909
-72.9671,41.2739,54843
-117.3254,34.0538,54828
-116.6591,43.6458,54660
-88.4396,43.772,54629
-120.5845,35.1241,54620
-116.4642,33.8363,54596
-89.5596,37.3108,54588
-118.0823,34.0688,54554
-119.2637,35.767,54471
-84.1373,33.6843,54471
-114.4611,42.5645,54455
-77.0371,41.2398,54389
-100.4832,28.7118,54299
-88.9877,40.522,54284
-74.0093,40.7856,54227
-77.5544,39.1058,54215
-80.7103,32.4487,54207
-104.7755,39.5083,54202
-89.9787,34.9514,54031
-81.474,31.145,54017
-71.0035,42.4191,53993
-97.0744,32.9343,53982
-111.0548,45.6828,53949
-87.937,42.0653,53930
-82.1063,41.3761,53883
-117.0426,34.0336,53683
-96.8633,32.5992,53568
-94.8018,38.9609,53553
-84.3314,33.8746,53518
-121.5504,38.5556,53512
-116.9934,46.3935,53436
-98.3584,40.9214,53424
-95.9357,41.1535,53424
-88.1083,41.8561,53373
-122.7844,45.4237,53148
-93.4617,44.9332,53085
-70.9724,42.5335,52987
-73.0624,41.2253,52970
-116.3695,33.7378,52932
-120.4714,34.6618,52856
-82.7076,27.8588,52854
-74.2724,40.5203,52823
-108.1823,36.7555,52555
-117.8468,34.1449,52445
-93.2006,44.7458,52435
-77.6556,39.9315,52418
-87.7899,41.8872,52261
-117.8553,33.8807,52157
-93.3602,44.8914,51958
-85.5925,42.8852,51747
-122.3393,47.4762,51671
-117.729,33.5792,51671
-110.3153,31.563,51571
-88.1463,42.0638,51567
-81.5308,28.7015,51564
-90.3269,38.7996,51443
-76.4561,41.0027,51356
-74.4157,40.6154,51327
-81.2849,28.2303,51282
-80.2715,25.7037,51095
-118.0686,33.8677,51020
-81.6135,31.8247,51001
-77.0724,35.0955,50617
-78.8659,35.7248,50451
-80.1788,33.0005,50388
-89.699,35.0474,50286
-71.1889,42.734,50259
-81.8008,41.4824,50249
-112.0197,46.5964,50227
-117.0201,32.9871,50041
